Entity,Code,Year,SchoolTime
Australia,AUS,2004,11.8
Australia,AUS,2005,12
Australia,AUS,2006,12.2
Australia,AUS,2007,12.3
Australia,AUS,2008,12.6
Australia,AUS,2011,13.1
Australia,AUS,2012,13.3
United States,USA,2005,12.8
United States,USA,2006,12.9
United States,USA,2008,12.9
United States,USA,2009,13
United States,USA,2013,13.6
United States,USA,2014,13.7
Uruguay,URY,2006,8.1
Uruguay,URY,2008,8.5
Uruguay,URY,2009,8.5
Uruguay,URY,2010,8.5
Uruguay,URY,2011,8.6
Uruguay,URY,2012,8.7
Uruguay,URY,2013,8.7
Uruguay,URY,2014,8.8
Venezuela,VEN,2006,7.8
Venezuela,VEN,2007,8.3
Venezuela,VEN,2008,8.5
Venezuela,VEN,2009,8.7
Venezuela,VEN,2011,9.7
